Close,Close(t-1),Close(t-2),Close(t-3),Close(t-4),Close(t-5),Close(t-6),Close(t-7)
0.227083,0.234375,0.225521,0.234375,0.235417,0.229688,0.225,0.218229
0.229167,0.227083,0.234375,0.225521,0.234375,0.235417,0.229688,0.225
0.222917,0.229167,0.227083,0.234375,0.225521,0.234375,0.235417,0.229688
0.219531,0.222917,0.229167,0.227083,0.234375,0.225521,0.234375,0.235417
0.214583,0.219531,0.222917,0.229167,0.227083,0.234375,0.225521,0.234375
0.225,0.214583,0.219531,0.222917,0.229167,0.227083,0.234375,0.225521
0.234896,0.225,0.214583,0.219531,0.222917,0.229167,0.227083,0.234375
0.23125,0.234896,0.225,0.214583,0.219531,0.222917,0.229167,0.227083
0.230208,0.23125,0.234896,0.225,0.214583,0.219531,0.222917,0.229167
0.226042,0.230208,0.23125,0.234896,0.225,0.214583,0.219531,0.222917
0.2375,0.226042,0.230208,0.23125,0.234896,0.225,0.214583,0.219531
0.242448,0.2375,0.226042,0.230208,0.23125,0.234896,0.225,0.214583
0.251042,0.242448,0.2375,0.226042,0.230208,0.23125,0.234896,0.225
0.247917,0.251042,0.242448,0.2375,0.226042,0.230208,0.23125,0.234896
0.2375,0.247917,0.251042,0.242448,0.2375,0.226042,0.230208,0.23125
0.241927,0.2375,0.247917,0.251042,0.242448,0.2375,0.226042,0.230208
0.239063,0.241927,0.2375,0.247917,0.251042,0.242448,0.2375,0.226042
0.230729,0.239063,0.241927,0.2375,0.247917,0.251042,0.242448,0.2375
0.213021,0.230729,0.239063,0.241927,0.2375,0.247917,0.251042,0.242448
0.215104,0.213021,0.230729,0.239063,0.241927,0.2375,0.247917,0.251042
0.232292,0.215104,0.213021,0.230729,0.239063,0.241927,0.2375,0.247917
0.24375,0.232292,0.215104,0.213021,0.230729,0.239063,0.241927,0.2375
0.247656,0.24375,0.232292,0.215104,0.213021,0.230729,0.239063,0.241927
0.239583,0.247656,0.24375,0.232292,0.215104,0.213021,0.230729,0.239063
0.247656,0.239583,0.247656,0.24375,0.232292,0.215104,0.213021,0.230729
0.253646,0.247656,0.239583,0.247656,0.24375,0.232292,0.215104,0.213021
0.256771,0.253646,0.247656,0.239583,0.247656,0.24375,0.232292,0.215104
0.246875,0.256771,0.253646,0.247656,0.239583,0.247656,0.24375,0.232292
0.240625,0.246875,0.256771,0.253646,0.247656,0.239583,0.247656,0.24375
0.2375,0.240625,0.246875,0.256771,0.253646,0.247656,0.239583,0.247656
0.238542,0.2375,0.240625,0.246875,0.256771,0.253646,0.247656,0.239583
0.247917,0.238542,0.2375,0.240625,0.246875,0.256771,0.253646,0.247656
0.245833,0.247917,0.238542,0.2375,0.240625,0.246875,0.256771,0.253646
0.259896,0.245833,0.247917,0.238542,0.2375,0.240625,0.246875,0.256771
0.257552,0.259896,0.245833,0.247917,0.238542,0.2375,0.240625,0.246875
0.253125,0.257552,0.259896,0.245833,0.247917,0.238542,0.2375,0.240625
0.246875,0.253125,0.257552,0.259896,0.245833,0.247917,0.238542,0.2375
0.245313,0.246875,0.253125,0.257552,0.259896,0.245833,0.247917,0.238542
0.242708,0.245313,0.246875,0.253125,0.257552,0.259896,0.245833,0.247917
0.265104,0.242708,0.245313,0.246875,0.253125,0.257552,0.259896,0.245833
0.264583,0.265104,0.242708,0.245313,0.246875,0.253125,0.257552,0.259896
0.263021,0.264583,0.265104,0.242708,0.245313,0.246875,0.253125,0.257552
0.259375,0.263021,0.264583,0.265104,0.242708,0.245313,0.246875,0.253125
0.257292,0.259375,0.263021,0.264583,0.265104,0.242708,0.245313,0.246875
0.253646,0.257292,0.259375,0.263021,0.264583,0.265104,0.242708,0.245313
0.261458,0.253646,0.257292,0.259375,0.263021,0.264583,0.265104,0.242708
0.263542,0.261458,0.253646,0.257292,0.259375,0.263021,0.264583,0.265104
0.270313,0.263542,0.261458,0.253646,0.257292,0.259375,0.263021,0.264583
0.270313,0.270313,0.263542,0.261458,0.253646,0.257292,0.259375,0.263021
0.274479,0.270313,0.270313,0.263542,0.261458,0.253646,0.257292,0.259375
0.303125,0.274479,0.270313,0.270313,0.263542,0.261458,0.253646,0.257292
0.320833,0.303125,0.274479,0.270313,0.270313,0.263542,0.261458,0.253646
0.317708,0.320833,0.303125,0.274479,0.270313,0.270313,0.263542,0.261458
0.298958,0.317708,0.320833,0.303125,0.274479,0.270313,0.270313,0.263542
0.30599,0.298958,0.317708,0.320833,0.303125,0.274479,0.270313,0.270313
0.3125,0.30599,0.298958,0.317708,0.320833,0.303125,0.274479,0.270313
0.319792,0.3125,0.30599,0.298958,0.317708,0.320833,0.303125,0.274479
0.347917,0.319792,0.3125,0.30599,0.298958,0.317708,0.320833,0.303125
0.346289,0.347917,0.319792,0.3125,0.30599,0.298958,0.317708,0.320833
0.331771,0.346289,0.347917,0.319792,0.3125,0.30599,0.298958,0.317708
0.327083,0.331771,0.346289,0.347917,0.319792,0.3125,0.30599,0.298958
0.327865,0.327083,0.331771,0.346289,0.347917,0.319792,0.3125,0.30599
0.329167,0.327865,0.327083,0.331771,0.346289,0.347917,0.319792,0.3125
0.332813,0.329167,0.327865,0.327083,0.331771,0.346289,0.347917,0.319792
0.355469,0.332813,0.329167,0.327865,0.327083,0.331771,0.346289,0.347917
0.35,0.355469,0.332813,0.329167,0.327865,0.327083,0.331771,0.346289
0.35,0.35,0.355469,0.332813,0.329167,0.327865,0.327083,0.331771
0.349219,0.35,0.35,0.355469,0.332813,0.329167,0.327865,0.327083
0.351042,0.349219,0.35,0.35,0.355469,0.332813,0.329167,0.327865
0.340365,0.351042,0.349219,0.35,0.35,0.355469,0.332813,0.329167
0.344792,0.340365,0.351042,0.349219,0.35,0.35,0.355469,0.332813
0.354167,0.344792,0.340365,0.351042,0.349219,0.35,0.35,0.355469
0.357813,0.354167,0.344792,0.340365,0.351042,0.349219,0.35,0.35
0.35638,0.357813,0.354167,0.344792,0.340365,0.351042,0.349219,0.35
0.375521,0.35638,0.357813,0.354167,0.344792,0.340365,0.351042,0.349219
0.396094,0.375521,0.35638,0.357813,0.354167,0.344792,0.340365,0.351042
0.3875,0.396094,0.375521,0.35638,0.357813,0.354167,0.344792,0.340365
0.369271,0.3875,0.396094,0.375521,0.35638,0.357813,0.354167,0.344792
0.358333,0.369271,0.3875,0.396094,0.375521,0.35638,0.357813,0.354167
0.369271,0.358333,0.369271,0.3875,0.396094,0.375521,0.35638,0.357813
0.396875,0.369271,0.358333,0.369271,0.3875,0.396094,0.375521,0.35638
0.392969,0.396875,0.369271,0.358333,0.369271,0.3875,0.396094,0.375521
0.404948,0.392969,0.396875,0.369271,0.358333,0.369271,0.3875,0.396094
0.400521,0.404948,0.392969,0.396875,0.369271,0.358333,0.369271,0.3875
0.410417,0.400521,0.404948,0.392969,0.396875,0.369271,0.358333,0.369271
0.395313,0.410417,0.400521,0.404948,0.392969,0.396875,0.369271,0.358333
0.392708,0.395313,0.410417,0.400521,0.404948,0.392969,0.396875,0.369271
0.38776,0.392708,0.395313,0.410417,0.400521,0.404948,0.392969,0.396875
0.363542,0.38776,0.392708,0.395313,0.410417,0.400521,0.404948,0.392969
0.3375,0.363542,0.38776,0.392708,0.395313,0.410417,0.400521,0.404948
0.353646,0.3375,0.363542,0.38776,0.392708,0.395313,0.410417,0.400521
0.344792,0.353646,0.3375,0.363542,0.38776,0.392708,0.395313,0.410417
0.398438,0.344792,0.353646,0.3375,0.363542,0.38776,0.392708,0.395313
0.397917,0.398438,0.344792,0.353646,0.3375,0.363542,0.38776,0.392708
0.382292,0.397917,0.398438,0.344792,0.353646,0.3375,0.363542,0.38776
0.39375,0.382292,0.397917,0.398438,0.344792,0.353646,0.3375,0.363542
0.396875,0.39375,0.382292,0.397917,0.398438,0.344792,0.353646,0.3375
0.390495,0.396875,0.39375,0.382292,0.397917,0.398438,0.344792,0.353646
0.376563,0.390495,0.396875,0.39375,0.382292,0.397917,0.398438,0.344792
0.379167,0.376563,0.390495,0.396875,0.39375,0.382292,0.397917,0.398438
0.384896,0.379167,0.376563,0.390495,0.396875,0.39375,0.382292,0.397917
0.361979,0.384896,0.379167,0.376563,0.390495,0.396875,0.39375,0.382292
0.380729,0.361979,0.384896,0.379167,0.376563,0.390495,0.396875,0.39375
0.386979,0.380729,0.361979,0.384896,0.379167,0.376563,0.390495,0.396875
0.38151,0.386979,0.380729,0.361979,0.384896,0.379167,0.376563,0.390495
0.373438,0.38151,0.386979,0.380729,0.361979,0.384896,0.379167,0.376563
0.366927,0.373438,0.38151,0.386979,0.380729,0.361979,0.384896,0.379167
0.376563,0.366927,0.373438,0.38151,0.386979,0.380729,0.361979,0.384896
0.369271,0.376563,0.366927,0.373438,0.38151,0.386979,0.380729,0.361979
0.369792,0.369271,0.376563,0.366927,0.373438,0.38151,0.386979,0.380729
0.358333,0.369792,0.369271,0.376563,0.366927,0.373438,0.38151,0.386979
0.341146,0.358333,0.369792,0.369271,0.376563,0.366927,0.373438,0.38151
0.360938,0.341146,0.358333,0.369792,0.369271,0.376563,0.366927,0.373438
0.358073,0.360938,0.341146,0.358333,0.369792,0.369271,0.376563,0.366927
0.367188,0.358073,0.360938,0.341146,0.358333,0.369792,0.369271,0.376563
0.356771,0.367188,0.358073,0.360938,0.341146,0.358333,0.369792,0.369271
0.364063,0.356771,0.367188,0.358073,0.360938,0.341146,0.358333,0.369792
0.352083,0.364063,0.356771,0.367188,0.358073,0.360938,0.341146,0.358333
