size,age,bedroom,CP_value,city,house_type,living,bath,balcony,kitchen,environment_score,price
10.0,0.0,0,1.3126480171506696,1,9,0,0,0,0,2,9000
9.0,0.1,1,0.1517549206487718,1,9,0,1,1,0,2,6900
5.0,0.0,0,0.3098389419754884,1,9,0,0,0,0,2,6000
9.0,0.1,1,0.5659136846092567,1,8,0,1,0,0,1,7499
10.0,0.0,1,0.0,1,8,0,1,1,0,0,8499
10.0,0.0,0,1.3144299628902452,1,0,0,0,0,0,0,11000
8.0,4.6,1,0.0105318306481445,1,8,0,1,0,0,1,6200
8.0,0.0,1,1.994191295344702,1,0,0,1,0,0,0,4299
14.0,20.4,1,2.1552231113063995,1,8,0,1,1,0,2,14000
10.0,0.1,1,0.8949518881699372,1,8,0,1,1,0,0,8499
10.0,0.1,1,2.5161345301961355,1,0,0,1,1,0,2,6499
25.0,0.0,3,0.5414838003237062,8,0,1,1,1,1,0,12500
13.0,0.1,1,1.2347588714736977,1,9,0,1,1,0,2,9999
8.0,0.1,1,0.6585238120242088,1,8,0,1,0,0,1,5499
16.5,0.0,0,0.7306817772740081,1,8,0,0,0,0,2,13499
13.0,0.1,1,1.2408943702522977,1,9,0,1,0,0,1,7499
11.0,0.0,1,1.7528128187883192,1,8,0,1,0,0,1,6499
10.0,3.0,1,0.5557343667878387,1,9,0,1,1,0,2,10000
69.0,20.0,0,1.1835617157463847,8,7,0,0,0,0,0,65000
13.0,0.0,1,0.2355257983212288,1,9,0,1,1,0,2,11999
25.0,0.1,3,1.4359245990926155,1,0,1,1,0,0,2,18880
16.0,0.1,0,0.3286576596572574,1,8,0,0,0,0,1,11199
18.0,0.1,1,0.5380892986536913,1,8,1,1,1,0,2,12999
10.0,0.0,1,0.1860487937720929,1,8,0,1,0,0,1,6299
9.0,20.0,1,1.417853431369718,8,0,0,1,1,1,0,22999
22.0,0.0,2,1.5526172107413558,1,8,1,1,1,0,1,21000
27.0,17.3,2,0.6098892438597157,1,9,2,2,1,1,3,36500
10.0,0.1,1,4312.774662827702,1,8,0,1,0,0,1,6599
16.5,0.0,0,0.5847374538237462,1,8,0,0,0,0,2,13499
23.0,0.1,3,0.9179374514434864,1,0,1,1,1,0,2,13999
15.0,2.3,0,0.0668527935367086,1,8,0,0,0,0,2,10999
15.0,0.1,1,0.0,1,9,0,1,0,0,1,9299
20.0,16.4,1,0.1585148848573964,11,8,1,1,1,0,0,17500
12.0,0.0,1,1.6165891977701583,1,9,0,1,1,0,2,8499
41.33,4.3,3,0.1815996086615905,8,9,2,1,1,1,4,28000
15.0,0.1,1,0.0,1,9,0,1,1,0,2,11299
10.0,3.6,1,0.1614180710541414,1,8,0,1,0,0,1,5799
24.0,2.2,2,0.7751202808726425,1,9,2,1,1,1,3,28000
15.0,0.0,1,1.0016119975542248,1,9,0,1,1,0,0,8999
35.0,30.0,3,0.3452244233251075,1,6,2,2,1,1,4,25000
9.0,0.0,1,0.8374037724103309,1,8,0,1,0,0,1,5000
34.0,20.1,2,0.5153126147928557,8,9,2,2,1,1,0,30000
12.0,0.0,0,0.3479594243283366,1,9,0,0,0,0,1,9999
9.0,0.0,1,0.508428534040782,1,8,1,1,0,0,1,6999
17.0,0.1,1,1.427825533979303,1,9,1,1,1,1,2,12499
40.6,0.1,2,0.1993166436529652,1,9,2,1,1,1,1,28000
10.0,2.5,1,1.2041426174471728,1,2,0,1,1,0,2,6499
13.0,2.1,1,1.0316419265310026,1,9,0,1,0,0,2,11999
6.0,20.0,1,1.0344803689722316e-05,2,9,0,1,0,0,0,17000
15.0,0.1,1,0.5615635769890457,1,9,0,1,1,0,2,11999
18.13,2.0,2,0.1157626662349877,3,9,2,2,0,0,0,20000
29.57,0.1,0,0.0578813331174938,15,8,0,0,0,0,0,20000
15.0,0.0,1,0.0,1,9,1,1,0,0,1,14000
80.0,0.1,0,0.0,15,4,0,0,0,0,0,38000
30.31,54.3,0,1.7570332382356295,3,8,0,0,0,0,0,5000
9.0,0.0,0,1.455109914638015,1,8,0,0,0,0,1,5999
9.0,0.1,1,0.589360036006154,1,9,0,1,1,0,2,6899
51.75,0.8,4,0.0253348490956089,1,2,2,5,1,1,1,23000
11.0,0.0,0,1.733556299318824,1,9,0,0,0,0,2,7999
10.0,0.1,1,0.1247841351215739,1,9,0,1,0,0,1,5999
22.92,0.0,3,0.0602379189706739,11,9,2,2,1,1,1,28000
13.0,0.1,1,0.7336973004408927,1,9,0,1,1,0,2,9999
12.0,0.0,1,0.0,1,8,0,1,0,0,2,7499
44.0,0.0,3,0.267121862369833,15,9,2,2,1,0,0,20800
11.0,0.1,1,0.0,1,6,0,1,0,0,2,8700
12.0,0.0,1,0.073507687603625,1,8,0,1,0,0,1,7999
17.0,0.0,1,0.8624787304187757,1,8,1,1,1,0,2,13999
13.0,0.0,1,0.1187841363933653,1,9,0,1,1,0,2,8999
13.0,0.0,1,0.6091261798008394,1,9,0,1,1,0,2,9499
12.0,0.0,1,0.3573290369620662,1,9,1,2,0,0,1,7999
18.5,0.1,1,0.1214354753472112,1,9,1,1,0,1,1,13999
8.0,0.1,0,0.0,1,8,0,0,0,0,0,4499
35.0,0.0,2,1.8715587316311373,1,9,1,1,1,1,0,23999
12.0,0.1,1,1.8948653007113068,1,6,0,1,0,0,1,10000
18.0,0.0,1,0.2218263550076393,1,9,0,1,1,0,0,12499
10.0,0.1,1,0.3060201479964666,1,8,0,1,1,0,0,8999
12.0,0.0,0,2.338690252587704,1,9,0,0,0,0,2,12000
10.0,1.0,1,0.0672165349027988,1,6,0,1,1,0,2,10500
10.2,0.0,1,0.3465614905502474,1,8,0,1,1,0,1,6999
47.82,1.6,0,0.3227404954550058,1,8,0,0,0,0,2,250000
13.0,0.0,1,0.5625368240895466,1,9,0,1,1,0,2,11999
15.0,0.0,1,0.8632651599946783,1,9,0,1,1,0,0,12599
29.0,22.1,3,0.9670209661626624,8,0,2,2,0,0,0,26000
10.0,0.0,1,0.1638221745086867,1,8,0,1,1,0,1,11800
7.0,4.7,1,0.8911735070079467,11,9,1,1,1,1,3,9500
16.0,0.0,1,0.0,1,9,0,1,0,0,0,11299
12.0,0.0,1,1.5993312996741251,1,9,0,1,1,0,2,9499
9.0,8.2,1,0.0,1,0,0,1,0,0,1,5800
10.0,2.2,1,1.296397398069003,1,8,0,1,0,0,1,9999
15.0,0.0,1,1.0655711021726324,1,8,1,1,1,0,1,12999
13.0,0.1,1,1.1614751424235523,1,9,0,1,1,0,2,10499
11.0,0.0,0,0.7769237240328662,1,9,0,0,0,0,2,8000
69.48,5.0,4,0.1175263441501672,8,9,2,2,1,1,4,33000
22.0,0.0,1,0.0,1,9,0,1,1,0,0,16999
12.0,20.0,1,1.3910490165159273,8,0,1,1,0,0,0,12880
20.0,0.0,2,0.8287136900314199,1,8,1,1,1,0,2,20000
15.0,2.0,2,0.5040244187109646,1,8,1,1,1,0,2,16500
10.0,0.1,1,0.0,1,8,0,1,1,0,2,8999
12.0,0.1,1,0.0,1,9,1,1,1,0,2,8999
13.0,0.1,1,1.5311073852060058,1,0,0,1,1,0,2,8999
10.0,0.0,1,0.7197627744521619,1,0,0,1,0,0,1,7999
16.3,0.0,1,1.3355800692390007,1,9,0,1,1,0,2,12999
12.0,0.1,1,0.0279649677159152,1,8,1,1,1,0,2,13000
12.0,1.3,1,0.5381047662966053,1,9,0,1,1,0,2,9500
16.0,0.0,0,1.0048190845826994,1,8,0,0,0,0,2,12999
30.0,0.0,3,0.5903102586616877,1,9,1,2,1,1,1,18499
40.0,0.1,3,0.3173143446857108,1,9,2,2,1,1,2,21999
10.0,0.0,1,0.7594639279718032,1,9,1,1,0,0,1,8099
9.88,0.0,1,1.2547603721181255,1,8,0,1,0,0,1,6799
9.0,0.0,0,1.337121845634817,1,6,0,0,0,0,1,6499
15.0,0.1,1,0.8107801709231184,1,0,0,1,1,0,2,12499
25.0,3.1,2,2.0772967329945016,1,9,2,1,1,0,2,20000
18.0,0.1,0,1.2409387972236667,1,9,0,0,0,0,2,14500
10.0,0.0,1,1.8111749513946231,1,9,1,1,0,0,1,4999
46.0,0.1,3,0.3174821951865135,1,9,2,2,1,1,0,26999
